sira	datesk	Item Name	Date	price
133	20120714	Brinjal (R)	13.05.2012	17
134	20120716	Brinjal (R)	14.05.2012	14
135	20120717	Brinjal (R)	15.05.2012	14
136	20120718	Brinjal (R)	16.05.2012	14
137	20120719	Brinjal (R)	17.05.2012	13
138	20120720	Brinjal (R)	18.05.2012	13
139	20120721	Brinjal (R)	19.05.2012	13
140	20120723	Brinjal (R)	20.05.2012	13
141	20120724	Brinjal (R)	21.05.2012	14
142	20120725	Brinjal (R)	22.05.2012	14
143	20120726	Brinjal (R)	23.05.2012	14
144	20120727	Brinjal (R)	24.05.2012	14
145	20120728	Brinjal (R)	25.05.2012	15
146	20120730	Brinjal (R)	26.05.2012	15
147	20120731	Brinjal (R)	27.05.2012	15
148	20120801	Brinjal (R)	28.05.2012	13
149	20120802	Brinjal (R)	29.05.2012	13
150	20120803	Brinjal (R)	30.05.2012	15
151	20120804	Brinjal (R)	31.05.2012	15
152	20120806	Brinjal (R)	1.06.2012	16
153	20120807	Brinjal (R)	2.06.2012	16
154	20120808	Brinjal (R)	3.06.2012	20
155	20120809	Brinjal (R)	4.06.2012	19
156	20120810	Brinjal (R)	5.06.2012	19
157	20120811	Brinjal (R)	6.06.2012	19
158	20120813	Brinjal (R)	7.06.2012	17
159	20120814	Brinjal (R)	8.06.2012	20
160	20120815	Brinjal (R)	9.06.2012	18
161	20120816	Brinjal (R)	10.06.2012	17
162	20120817	Brinjal (R)	11.06.2012	15
163	20120818	Brinjal (R)	12.06.2012	15
164	20120820	Brinjal (R)	13.06.2012	13
165	20120821	Brinjal (R)	14.06.2012	13
166	20120822	Brinjal (R)	15.06.2012	12
167	20120823	Brinjal (R)	16.06.2012	12
168	20120824	Brinjal (R)	17.06.2012	12
169	20120825	Brinjal (R)	18.06.2012	13
170	20120827	Brinjal (R)	19.06.2012	13
171	20120828	Brinjal (R)	20.06.2012	12
172	20120829	Brinjal (R)	21.06.2012	12
173	20120830	Brinjal (R)	22.06.2012	12
174	20120831	Brinjal (R)	23.06.2012	14
175	20120901	Brinjal (R)	24.06.2012	14
176	20120903	Brinjal (R)	25.06.2012	13
177	20120904	Brinjal (R)	26.06.2012	13
178	20120905	Brinjal (R)	27.06.2012	13
179	20120906	Brinjal (R)	28.06.2012	13
180	20120907	Brinjal (R)	29.06.2012	13
181	20120908	Brinjal (R)	30.06.2012	13
182	20120910	Brinjal (R)	1.07.2012	12
183	20120911	Brinjal (R)	2.07.2012	12
184	20120912	Brinjal (R)	3.07.2012	12
185	20120913	Brinjal (R)	4.07.2012	12
186	20120914	Brinjal (R)	5.07.2012	11
187	20120915	Brinjal (R)	6.07.2012	11
188	20120917	Brinjal (R)	7.07.2012	11
189	20120918	Brinjal (R)	8.07.2012	11
190	20120919	Brinjal (R)	9.07.2012	16
191	20120922	Brinjal (R)	10.07.2012	18
192	20120924	Brinjal (R)	11.07.2012	14
193	20120925	Brinjal (R)	12.07.2012	13
194	20120926	Brinjal (R)	13.07.2012	13
195	20120927	Brinjal (R)	14.07.2012	13
196	20120928	Brinjal (R)	15.07.2012	12
197	20120929	Brinjal (R)	16.07.2012	12
198	20121001	Brinjal (R)	17.07.2012	12
199	20121002	Brinjal (R)	18.07.2012	12
200	20121003	Brinjal (R)	19.07.2012	12
201	20121004	Brinjal (R)	20.07.2012	12
202	20121005	Brinjal (R)	21.07.2012	13
203	20121008	Brinjal (R)	22.07.2012	13
204	20121009	Brinjal (R)	23.07.2012	12
205	20121010	Brinjal (R)	24.07.2012	12
206	20121011	Brinjal (R)	25.07.2012	11
207	20121012	Brinjal (R)	26.07.2012	12
208	20121013	Brinjal (R)	27.07.2012	12
209	20121015	Brinjal (R)	28.07.2012	11
210	20121016	Brinjal (R)	29.07.2012	19
211	20121017	Brinjal (R)	30.07.2012	18
212	20121018	Brinjal (R)	31.07.2012	14
213	20121019	Brinjal (R)	1.08.2012	15
214	20121020	Brinjal (R)	2.08.2012	15
215	20121022	Brinjal (R)	3.08.2012	14
216	20121023	Brinjal (R)	4.08.2012	14
217	20121025	Brinjal (R)	5.08.2012	13
218	20121026	Brinjal (R)	6.08.2012	14
219	20121027	Brinjal (R)	7.08.2012	14
220	20121029	Brinjal (R)	8.08.2012	13
221	20121030	Brinjal (R)	9.08.2012	14
222	20121031	Brinjal (R)	10.08.2012	12
223	20121101	Brinjal (R)	11.08.2012	18
224	20121103	Brinjal (R)	12.08.2012	18
225	20121105	Brinjal (R)	13.08.2012	13
226	20121106	Brinjal (R)	14.08.2012	12
227	20121107	Brinjal (R)	15.08.2012	19
228	20121108	Brinjal (R)	16.08.2012	18
229	20121109	Brinjal (R)	17.08.2012	18
230	20121110	Brinjal (R)	18.08.2012	14
231	20121112	Brinjal (R)	19.08.2012	13
232	20121113	Brinjal (R)	20.08.2012	13
233	20121114	Brinjal (R)	21.08.2012	13
234	20121115	Brinjal (R)	22.08.2012	14
235	20121116	Brinjal (R)	23.08.2012	17
236	20121117	Brinjal (R)	24.08.2012	18
237	20121119	Brinjal (R)	25.08.2012	19
238	20121120	Brinjal (R)	26.08.2012	22
239	20121121	Brinjal (R)	27.08.2012	25
240	20121122	Brinjal (R)	28.08.2012	23
241	20121123	Brinjal (R)	29.08.2012	20
242	20121124	Brinjal (R)	30.08.2012	19
243	20121126	Brinjal (R)	31.08.2012	16
244	20121127	Brinjal (R)	1.09.2012	15
245	20121128	Brinjal (R)	2.09.2012	14
246	20121129	Brinjal (R)	3.09.2012	13
247	20121130	Brinjal (R)	4.09.2012	14
248	20121201	Brinjal (R)	5.09.2012	15
249	20121203	Brinjal (R)	6.09.2012	17
250	20121204	Brinjal (R)	7.09.2012	17
251	20121205	Brinjal (R)	8.09.2012	19
252	20121206	Brinjal (R)	9.09.2012	15
